Data e Hora de Início: 2025-03-09 22:10:06.674742

=== Processos em Execução ===
2025-03-09 22:10:40,689 - codecarbon  : INFO     0.000139 kWh of electricity used since the beginning.
2025-03-09 22:10:42,688 - codecarbon  : INFO     Energy consumed for RAM : 0.000029 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:42,689 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:42,689 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000119 kWh. Total CPU Power : 11.697018834013472 W
2025-03-09 22:10:42,689 - codecarbon  : INFO     0.000147 kWh of electricity used since the beginning.
2025-03-09 22:10:44,689 - codecarbon  : INFO     Energy consumed for RAM : 0.000030 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:44,689 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:44,690 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000125 kWh. Total CPU Power : 11.702434102989317 W
2025-03-09 22:10:44,690 - codecarbon  : INFO     0.000155 kWh of electricity used since the beginning.
2025-03-09 22:10:46,690 - codecarbon  : INFO     Energy consumed for RAM : 0.000032 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:46,690 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:46,691 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000132 kWh. Total CPU Power : 11.545818190155464 W
2025-03-09 22:10:46,692 - codecarbon  : INFO     0.000163 kWh of electricity used since the beginning.
2025-03-09 22:10:48,690 - codecarbon  : INFO     Energy consumed for RAM : 0.000033 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:48,691 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:48,692 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000138 kWh. Total CPU Power : 11.658573573702478 W
2025-03-09 22:10:48,692 - codecarbon  : INFO     0.000171 kWh of electricity used since the beginning.
2025-03-09 22:10:50,691 - codecarbon  : INFO     Energy consumed for RAM : 0.000035 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:50,692 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:50,693 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000144 kWh. Total CPU Power : 11.305793963571015 W
2025-03-09 22:10:50,693 - codecarbon  : INFO     0.000179 kWh of electricity used since the beginning.
2025-03-09 22:10:52,692 - codecarbon  : INFO     Energy consumed for RAM : 0.000037 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:52,693 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:52,694 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000151 kWh. Total CPU Power : 11.833992894052205 W
2025-03-09 22:10:52,694 - codecarbon  : INFO     0.000188 kWh of electricity used since the beginning.
2025-03-09 22:10:54,693 - codecarbon  : INFO     Energy consumed for RAM : 0.000038 kWh. RAM Power : 2.86547327041626 W
2025-03-09 22:10:54,694 - codecarbon  : INFO     Energy consumed for all GPUs : 0.000000 kWh. Total GPU Power : 0 W
2025-03-09 22:10:54,695 - codecarbon  : INFO     Energy consumed for all CPUs : 0.000157 kWh. Total CPU Power : 11.616607116380244 W
2025-03-09 22:10:54,695 - codecarbon  : INFO     0.000196 kWh of electricity used since the beginning.
2025-03-09 22:10:54,698 - codecarbon  : INFO     0.000396 g.CO2eq/s mean an estimation of 12.502001819098062 kg.CO2eq/year
2025-03-09 22:10:56,694 - codecarbon  : INFO     Energy consumed for RAM : 0.000040 kWh. RAM Power : 2.86547327041626 W
